name,time,Status
Baby_status,1710006710101967136,not crying
Baby_status,1710006715153769662,not crying
Baby_status,1710006720231282157,not crying
Baby_status,1710006725728935001,not crying
Baby_status,1710006730086545108,not crying
Baby_status,1710006735070108226,not crying
Baby_status,1710006740111309646,not crying
Baby_status,1710006745813973494,not crying
Baby_status,1710006750117960023,not crying
Baby_status,1710006755084912324,not crying
Baby_status,1710006760112606729,not crying
Baby_status,1710006765737894362,not crying
Baby_status,1710006770187985034,not crying
Baby_status,1710006775366557558,not crying
Baby_status,1710006780058802405,not crying
Baby_status,1710006785729979478,not crying
Baby_status,1710006790201976343,not crying
Baby_status,1710006795108193049,not crying
Baby_status,1710006800150317747,not crying
Baby_status,1710006805736095011,not crying
Baby_status,1710006810054025581,not crying
Baby_status,1710006815152925201,not crying
Baby_status,1710006820113596472,not crying
Baby_status,1710006825759893510,not crying
Baby_status,1710006830107192900,not crying
Baby_status,1710006835355754358,not crying
Baby_status,1710006840257335462,not crying
Baby_status,1710006845778062852,not crying
Baby_status,1710006850253607244,not crying
Baby_status,1710006855119927118,not crying
Baby_status,1710006860166149108,not crying
Baby_status,1710006865848707038,not crying
Baby_status,1710006870100893690,not crying
Baby_status,1710006875092185792,not crying
Baby_status,1710006880152563645,not crying
Baby_status,1710006885854972224,crying
Baby_status,1710006890200366251,not crying
Baby_status,1710006895211557586,not crying
Baby_status,1710006900258841539,not crying
Baby_status,1710006905786525476,not crying
Baby_status,1710006910145886215,crying
Baby_status,1710006915214176325,crying
Baby_status,1710006920247314579,crying
Baby_status,1710006925934101399,crying
Baby_status,1710006930207413525,not crying
Baby_status,1710006935140379006,not crying
Baby_status,1710006940086678719,not crying
Baby_status,1710006945788725973,not crying
Baby_status,1710006950140071902,not crying
Baby_status,1710006955235894939,not crying
Baby_status,1710006960139591953,not crying
Baby_status,1710006965801272360,not crying
Baby_status,1710006970198432531,not crying
Baby_status,1710006975131234695,not crying
Baby_status,1710006980136786138,not crying
Baby_status,1710006985804555952,not crying
Baby_status,1710006990135965186,not crying
Baby_status,1710006995184734909,not crying
Baby_status,1710007000228074663,not crying
Baby_status,1710007005811213540,not crying
Baby_status,1710007010229710036,not crying
Baby_status,1710007015269775043,not crying
Baby_status,1710007020206548546,not crying
Baby_status,1710007025811248644,not crying
Baby_status,1710007030238436727,not crying
Baby_status,1710007035177249065,not crying
Baby_status,1710007040171711689,not crying
Baby_status,1710007045818479571,not crying
Baby_status,1710007050338599451,not crying
Baby_status,1710007055213667272,not crying
Baby_status,1710007060229903151,not crying
Baby_status,1710007065868872046,not crying
Baby_status,1710007070212599841,not crying
Baby_status,1710007075287699375,not crying
Baby_status,1710007080222835040,not crying
Baby_status,1710007085864473135,not crying
Baby_status,1710007090288002213,not crying
Baby_status,1710007095319745393,not crying
Baby_status,1710007100452127487,not crying
Baby_status,1710007105887371968,not crying
Baby_status,1710007110329908646,not crying
Baby_status,1710007115315755876,not crying
Baby_status,1710007120252521131,crying
Baby_status,1710007126367211594,crying
Baby_status,1710007130362056720,not crying
Baby_status,1710007135265762623,not crying
Baby_status,1710007140365680347,not crying
Baby_status,1710007146008517214,not crying
Baby_status,1710007150327046657,not crying
Baby_status,1710007155350795494,not crying
