name,time,not_ideal_temp_conditions
Not_Ideal_Env,1710006712918317737,1
Not_Ideal_Env,1710006717925568065,1
Not_Ideal_Env,1710006722966370785,1
Not_Ideal_Env,1710006727912490898,1
Not_Ideal_Env,1710006732920261749,1
Not_Ideal_Env,1710006737944957963,1
Not_Ideal_Env,1710006742923495890,1
Not_Ideal_Env,1710006747933595279,1
Not_Ideal_Env,1710006752927593694,1
Not_Ideal_Env,1710006757925729972,1
Not_Ideal_Env,1710006762961894334,1
Not_Ideal_Env,1710006767933644952,1
Not_Ideal_Env,1710006772933188270,1
Not_Ideal_Env,1710006777959190757,1
Not_Ideal_Env,1710006782937707728,1
Not_Ideal_Env,1710006787938859313,1
Not_Ideal_Env,1710006792939130346,1
Not_Ideal_Env,1710006797934936062,1
Not_Ideal_Env,1710006802944063395,1
Not_Ideal_Env,1710006807946226157,1
Not_Ideal_Env,1710006814153049139,1
Not_Ideal_Env,1710006817993925820,1
Not_Ideal_Env,1710006822992155551,1
Not_Ideal_Env,1710006828001701439,1
Not_Ideal_Env,1710006833004545555,1
Not_Ideal_Env,1710006837993826023,1
Not_Ideal_Env,1710006842996373045,1
Not_Ideal_Env,1710006847994102751,1
Not_Ideal_Env,1710006852993407173,1
Not_Ideal_Env,1710006858007479434,1
Not_Ideal_Env,1710006862998710505,1
Not_Ideal_Env,1710006867995555056,1
Not_Ideal_Env,1710006872995667635,1
Not_Ideal_Env,1710006877993972083,1
Not_Ideal_Env,1710006883003434130,1
Not_Ideal_Env,1710006887995853419,1
Not_Ideal_Env,1710006892994771330,1
Not_Ideal_Env,1710006897996398410,1
Not_Ideal_Env,1710006902996299797,1
Not_Ideal_Env,1710006907998169731,1
Not_Ideal_Env,1710006912998607039,1
Not_Ideal_Env,1710006917998900875,1
Not_Ideal_Env,1710006923022502160,1
Not_Ideal_Env,1710006928038437057,1
Not_Ideal_Env,1710006933008296209,1
Not_Ideal_Env,1710006937999477298,1
Not_Ideal_Env,1710006943006313752,1
Not_Ideal_Env,1710006948047136480,1
Not_Ideal_Env,1710006953018368515,1
Not_Ideal_Env,1710006958009954365,1
Not_Ideal_Env,1710006963022948660,1
Not_Ideal_Env,1710006968008349974,1
Not_Ideal_Env,1710006973013808490,1
Not_Ideal_Env,1710006978009149262,1
Not_Ideal_Env,1710006983012494505,1
Not_Ideal_Env,1710006988021734026,1
Not_Ideal_Env,1710006993010662743,1
Not_Ideal_Env,1710006998080109025,1
Not_Ideal_Env,1710007003017227402,1
Not_Ideal_Env,1710007008022997850,1
Not_Ideal_Env,1710007013025063520,1
Not_Ideal_Env,1710007018025584030,1
Not_Ideal_Env,1710007023027623265,1
Not_Ideal_Env,1710007028027278957,1
Not_Ideal_Env,1710007033071003245,1
Not_Ideal_Env,1710007038026841224,1
Not_Ideal_Env,1710007043027336697,1
Not_Ideal_Env,1710007048045997185,1
Not_Ideal_Env,1710007053071672762,1
Not_Ideal_Env,1710007058034504298,1
Not_Ideal_Env,1710007063032820836,1
Not_Ideal_Env,1710007068065674155,1
Not_Ideal_Env,1710007073056028659,1
Not_Ideal_Env,1710007078058655085,1
Not_Ideal_Env,1710007083076682112,1
Not_Ideal_Env,1710007088062582697,1
Not_Ideal_Env,1710007093084057241,1
Not_Ideal_Env,1710007098083171842,1
Not_Ideal_Env,1710007103088614283,1
Not_Ideal_Env,1710007108079296573,1
Not_Ideal_Env,1710007113089975470,1
Not_Ideal_Env,1710007118107229339,1
Not_Ideal_Env,1710007123097053704,1
Not_Ideal_Env,1710007128134343359,1
Not_Ideal_Env,1710007133119709595,1
Not_Ideal_Env,1710007138108246183,1
Not_Ideal_Env,1710007143103208730,1
Not_Ideal_Env,1710007148137930935,1
Not_Ideal_Env,1710007153116164845,1
Not_Ideal_Env,1710007158119421836,1
Not_Ideal_Env,1710007163120425978,1
Not_Ideal_Env,1710007168134894782,1
Not_Ideal_Env,1710007173124394779,1
Not_Ideal_Env,1710007178131722533,1
Not_Ideal_Env,1710007183125130631,1
Not_Ideal_Env,1710007188132582288,1
Not_Ideal_Env,1710007193159161798,1
Not_Ideal_Env,1710007198132672452,1
Not_Ideal_Env,1710007203134216476,1
Not_Ideal_Env,1710007208137465173,1
Not_Ideal_Env,1710007213144057749,1
Not_Ideal_Env,1710007218150470631,1
Not_Ideal_Env,1710007223139598813,1
Not_Ideal_Env,1710007228181713711,1
Not_Ideal_Env,1710007233155007485,1
Not_Ideal_Env,1710007238169985539,1
Not_Ideal_Env,1710007243158404983,1
Not_Ideal_Env,1710007248168159812,1
Not_Ideal_Env,1710007253165643603,1
Not_Ideal_Env,1710007258170046559,1
Not_Ideal_Env,1710007263166474440,1
Not_Ideal_Env,1710007268172787353,1
Not_Ideal_Env,1710007273169361084,1
Not_Ideal_Env,1710007278167169165,1
Not_Ideal_Env,1710007283166676435,1
Not_Ideal_Env,1710007288172972815,1
Not_Ideal_Env,1710007293179908753,1
Not_Ideal_Env,1710007298201847920,1
Not_Ideal_Env,1710007303172516828,1
Not_Ideal_Env,1710007308182697941,1
Not_Ideal_Env,1710007313190140192,1
Not_Ideal_Env,1710007318248879898,1
Not_Ideal_Env,1710007323184861291,1
Not_Ideal_Env,1710007328179011714,1
Not_Ideal_Env,1710007333180189260,1
Not_Ideal_Env,1710007338181373652,1
Not_Ideal_Env,1710007343230676038,1
Not_Ideal_Env,1710007348217568418,1
Not_Ideal_Env,1710007353210635423,1
Not_Ideal_Env,1710007358206567954,1
Not_Ideal_Env,1710007363219382238,1
Not_Ideal_Env,1710007368218793072,1
Not_Ideal_Env,1710007373214035823,1
Not_Ideal_Env,1710007378227288704,1
Not_Ideal_Env,1710007383321290709,1
Not_Ideal_Env,1710007388232208593,1
Not_Ideal_Env,1710007393222453938,1
Not_Ideal_Env,1710007398221185714,1
Not_Ideal_Env,1710007403230858020,1
Not_Ideal_Env,1710007408245798959,1
Not_Ideal_Env,1710007413227130972,1
Not_Ideal_Env,1710007418231681523,1
Not_Ideal_Env,1710007423225482143,1
Not_Ideal_Env,1710007428268644811,1
Not_Ideal_Env,1710007433245043721,1
Not_Ideal_Env,1710007438239378173,1
Not_Ideal_Env,1710007443248243602,1
Not_Ideal_Env,1710007448239322205,1
Not_Ideal_Env,1710007454360007252,1
Not_Ideal_Env,1710007458250098561,1
Not_Ideal_Env,1710007463249791624,1
Not_Ideal_Env,1710007468253201914,1
Not_Ideal_Env,1710007473251625101,1
Not_Ideal_Env,1710007478251099069,1
Not_Ideal_Env,1710007483254535002,1
Not_Ideal_Env,1710007488251408316,1
Not_Ideal_Env,1710007493251137975,1
Not_Ideal_Env,1710007498262482267,1
Not_Ideal_Env,1710007503252913020,1
Not_Ideal_Env,1710007508255595590,1
Not_Ideal_Env,1710007513251481789,1
Not_Ideal_Env,1710007518256518622,1
Not_Ideal_Env,1710007523265721164,1
Not_Ideal_Env,1710007528258162592,1
Not_Ideal_Env,1710007533280674079,1
Not_Ideal_Env,1710007538274780446,1
Not_Ideal_Env,1710007543270298992,1
Not_Ideal_Env,1710007548272819847,1
Not_Ideal_Env,1710007553277942874,1
Not_Ideal_Env,1710007558380318758,1
Not_Ideal_Env,1710007563282125095,1
Not_Ideal_Env,1710007568276596029,1
Not_Ideal_Env,1710007573296010485,1
Not_Ideal_Env,1710007578285685236,1
Not_Ideal_Env,1710007583287838985,1
Not_Ideal_Env,1710007588317894104,1
Not_Ideal_Env,1710007593287676800,1
Not_Ideal_Env,1710007598303244842,1
Not_Ideal_Env,1710007603292577169,1
Not_Ideal_Env,1710007608308248843,1
Not_Ideal_Env,1710007613326794975,1
Not_Ideal_Env,1710007618310772931,1
Not_Ideal_Env,1710007623307214829,1
Not_Ideal_Env,1710007628325161043,1
Not_Ideal_Env,1710007633311717396,1
Not_Ideal_Env,1710007638314708715,1
Not_Ideal_Env,1710007643301790202,1
Not_Ideal_Env,1710007648316721652,1
Not_Ideal_Env,1710007653309865068,1
Not_Ideal_Env,1710007658328654447,1
Not_Ideal_Env,1710007663349557554,1
Not_Ideal_Env,1710007668336395340,1
Not_Ideal_Env,1710007673310795619,1
Not_Ideal_Env,1710007678324890908,1
Not_Ideal_Env,1710007683341842317,1
Not_Ideal_Env,1710007688420562332,1
Not_Ideal_Env,1710007693352974991,1
Not_Ideal_Env,1710007698353551382,1
Not_Ideal_Env,1710007703349827517,1
Not_Ideal_Env,1710007708353774123,1
Not_Ideal_Env,1710007713397496676,1
Not_Ideal_Env,1710007718382880524,1
Not_Ideal_Env,1710007723370849969,1
Not_Ideal_Env,1710007728371682983,1
Not_Ideal_Env,1710007733370706667,1
Not_Ideal_Env,1710007738382404702,1
Not_Ideal_Env,1710007743372167351,1
Not_Ideal_Env,1710007748368861096,1
Not_Ideal_Env,1710007753367795802,1
Not_Ideal_Env,1710007758386324568,1
Not_Ideal_Env,1710007763384869760,1
Not_Ideal_Env,1710007768380268071,1
Not_Ideal_Env,1710007773379000567,1
Not_Ideal_Env,1710007778377033723,1
Not_Ideal_Env,1710007783404450320,1
Not_Ideal_Env,1710007788388092511,1
Not_Ideal_Env,1710007793389904339,1
Not_Ideal_Env,1710007798396172584,1
Not_Ideal_Env,1710007803388727431,1
Not_Ideal_Env,1710007808410746604,1
Not_Ideal_Env,1710007813392556248,1
Not_Ideal_Env,1710007818390532568,1
Not_Ideal_Env,1710007823412079593,1
Not_Ideal_Env,1710007828392716570,1
Not_Ideal_Env,1710007833391562140,1
Not_Ideal_Env,1710007838696650858,1
Not_Ideal_Env,1710007844128108006,1
Not_Ideal_Env,1710007849137813201,1
Not_Ideal_Env,1710007854132464480,1
