name,time,Propane
Pro_pane,1710061743525393966,0.00
Pro_pane,1710061748527214627,1.00
Pro_pane,1710061753531979070,2.00
Pro_pane,1710061758545940399,0.00
Pro_pane,1710061763538773243,0.00
Pro_pane,1710061768552107520,1.00
Pro_pane,1710061773548861006,0.00
Pro_pane,1710061778546252292,0.00
Pro_pane,1710061783545850748,0.00
Pro_pane,1710061788547977154,1.00
Pro_pane,1710061793549700790,0.00
Pro_pane,1710061798559524286,2.00
Pro_pane,1710061803559057179,0.00
Pro_pane,1710061808554733929,2.00
Pro_pane,1710061813556336796,1.00
Pro_pane,1710061818571991378,0.00
Pro_pane,1710061823557618859,1.00
Pro_pane,1710061828555506708,1.00
Pro_pane,1710061833563039464,0.00
Pro_pane,1710061838569268673,2.00
Pro_pane,1710061843571320959,0.00
Pro_pane,1710061848569162988,1.00
Pro_pane,1710061853563912727,1.00
Pro_pane,1710061858568689351,1.00
Pro_pane,1710061863563597143,1.00
Pro_pane,1710061868565183186,2.00
Pro_pane,1710061873572147276,2.00
Pro_pane,1710061878575983138,1.00
Pro_pane,1710061883574456613,1.00
Pro_pane,1710061888569937640,0.00
Pro_pane,1710061893570040832,2.00
Pro_pane,1710061898563810650,1.00
Pro_pane,1710061903567170168,2.00
Pro_pane,1710061908562791370,1.00
Pro_pane,1710061913564085566,1.00
Pro_pane,1710061918573791080,0.00
Pro_pane,1710061923573267505,1.00
Pro_pane,1710061928569555026,1.00
Pro_pane,1710061933570233202,2.00
Pro_pane,1710061938585465333,1.00
Pro_pane,1710061943574850665,2.00
Pro_pane,1710061948597658485,1.00
Pro_pane,1710061953588496610,2.00
Pro_pane,1710061958583700181,0.00
Pro_pane,1710061963580707125,2.00
Pro_pane,1710061968598664253,0.00
Pro_pane,1710061973578947226,1.00
Pro_pane,1710061978573636447,1.00
Pro_pane,1710061983580603537,2.00
Pro_pane,1710061988576358886,1.00
Pro_pane,1710061993576164423,2.00
Pro_pane,1710061998583911333,0.00
Pro_pane,1710062003576036047,2.00
Pro_pane,1710062008578927126,1.00
Pro_pane,1710062013579999090,1.00
Pro_pane,1710062018580616673,1.00
Pro_pane,1710062023594560455,1.00
Pro_pane,1710062028592397722,0.00
Pro_pane,1710062033593277315,1.00
Pro_pane,1710062038591364620,0.00
Pro_pane,1710062043599170115,0.00
Pro_pane,1710062048592954244,0.00
Pro_pane,1710062053594398237,1.00
Pro_pane,1710062058592225257,1.00
Pro_pane,1710062063594855536,1.00
Pro_pane,1710062068598809399,1.00
Pro_pane,1710062073593501358,0.00
Pro_pane,1710062078592512152,2.00
Pro_pane,1710062083598241823,1.00
Pro_pane,1710062088609117879,0.00
Pro_pane,1710062093595441821,0.00
Pro_pane,1710062098595303110,2.00
Pro_pane,1710062103594203822,2.00
Pro_pane,1710062108594046922,1.00
Pro_pane,1710062113598014951,2.00
Pro_pane,1710062118598583662,2.00
Pro_pane,1710062123599032993,1.00
Pro_pane,1710062128603480639,0.00
Pro_pane,1710062133604030323,2.00
Pro_pane,1710062138603457246,0.00
Pro_pane,1710062143611038199,0.00
Pro_pane,1710062148603166333,0.00
Pro_pane,1710062153612125448,1.00
Pro_pane,1710062158611597401,1.00
Pro_pane,1710062163606778739,2.00
Pro_pane,1710062168605782871,0.00
Pro_pane,1710062173605615330,0.00
Pro_pane,1710062178606984913,1.00
Pro_pane,1710062183606278561,1.00
Pro_pane,1710062188607367459,1.00
Pro_pane,1710062193607363491,1.00
Pro_pane,1710062198612697209,2.00
Pro_pane,1710062203613378906,0.00
Pro_pane,1710062208610274127,1.00
Pro_pane,1710062213612691179,2.00
Pro_pane,1710062218625920996,2.00
Pro_pane,1710062223618474517,1.00
Pro_pane,1710062228612999438,2.00
Pro_pane,1710062233610807015,1.00
Pro_pane,1710062238613136677,0.00
Pro_pane,1710062243618819205,2.00
Pro_pane,1710062248613071404,2.00
Pro_pane,1710062253609815743,0.00
Pro_pane,1710062258610825560,1.00
Pro_pane,1710062263622788470,1.00
Pro_pane,1710062268617288811,0.00
Pro_pane,1710062273620877455,1.00
Pro_pane,1710062278630181429,2.00
Pro_pane,1710062283631464104,2.00
Pro_pane,1710062288627815174,0.00
Pro_pane,1710062293621743134,1.00
Pro_pane,1710062298627492271,0.00
Pro_pane,1710062303621876521,1.00
Pro_pane,1710062308629464035,2.00
Pro_pane,1710062313620950829,0.00
Pro_pane,1710062318618882656,0.00
Pro_pane,1710062323620154149,2.00
Pro_pane,1710062328624695673,1.00
Pro_pane,1710062333632003169,1.00
Pro_pane,1710062338646675233,1.00
Pro_pane,1710062343629932570,1.00
Pro_pane,1710062348631358498,2.00
Pro_pane,1710062353645085461,0.00
Pro_pane,1710062358639755889,1.00
Pro_pane,1710062363640735269,2.00
Pro_pane,1710062368633322083,2.00
Pro_pane,1710062373636815718,2.00
Pro_pane,1710062378637950076,0.00
Pro_pane,1710062383643954066,2.00
Pro_pane,1710062388646650760,0.00
Pro_pane,1710062393649610943,1.00
Pro_pane,1710062398644961696,2.00
Pro_pane,1710062403650414069,2.00
Pro_pane,1710062408654218737,1.00
Pro_pane,1710062413648750854,1.00
Pro_pane,1710062418659292409,0.00
Pro_pane,1710062423665007407,0.00
Pro_pane,1710062428650084078,2.00
Pro_pane,1710062433653727950,0.00
Pro_pane,1710062438647163864,1.00
Pro_pane,1710062443648266981,2.00
Pro_pane,1710062448651220164,1.00
Pro_pane,1710062453645995498,0.00
Pro_pane,1710062458657788246,2.00
Pro_pane,1710062463655731742,2.00
Pro_pane,1710062468656015779,0.00
Pro_pane,1710062473656559108,2.00
Pro_pane,1710062478655951055,1.00
Pro_pane,1710062483653332817,1.00
Pro_pane,1710062488653798980,1.00
Pro_pane,1710062493654693294,1.00
Pro_pane,1710062498659282843,1.00
Pro_pane,1710062503653491592,2.00
Pro_pane,1710062508655494014,1.00
Pro_pane,1710062513657678239,2.00
Pro_pane,1710062518650090208,0.00
